Review Text,Actual Sentiment,Predicted Sentiment,Original Rating
aplikasi sulit orang yg obat tolong yg bikin aplikasi undur aja payah,negative,negative,5
tolong kasi tau tampil biaya potong gaji,neutral,neutral,5
aplikasi negara maju bikin aplikasi mudah layan adm konoha bikin adm ribet sdh daftar kunjung scr online antri daftar adm on the spot dar ambil surat antar pol pol antri masuk konsultasiberobat dokter siatemnya orang kritis keburu mati liat aplikasi proyek habis anggar negara,positive,neutral,5
bagus skali,positive,positive,1
moga baik,positive,positive,5
coba berkalikali kode otp nihil,neutral,neutral,5
tolong sulit hidup bayar rutin loh tiba akun log out lupa sandi mai ganti sandi ribetnya astaghfirullah gagal buang,negative,negative,5
buka aplikasi minggu aplikasi buka layar hitam butuh suami bolakbalik rs,neutral,neutral,1
alhamdulillah kali daftar mobile jkn ipar bikin tau alhamdulillah moga guna depan,neutral,neutral,3
log out masuk susah error pusat puskesmas nomer antri sy masuk direcordnya puskesmas coba batal sedih,negative,negative,1
nik gagal login,negative,negative,5
mudah trimakasih,positive,positive,1
mw daftar tp otp ga kirim,neutral,neutral,5
krnapa yaa booking kontrol sos teruss,neutral,neutral,1
dapet otp susah,negative,negative,5
gak banget nih apk verifikasi sms gak muncul kode,neutral,neutral,5
daftar ulang gilir daftar ulang nomor hp sdh oernah aneh bgt tlg butuh daftarin faskes,negative,negative,1
aplikasi rudet hese daftar na ge parah,negative,negative,4
cahaya udh bgus ga pake kacamata tetep aja verifikasi nya gagal ga,negative,negative,1
daftar aplikasi kenapaa sllu gagal daftar sllu muncul notifikasi nomor tdk sesuai utk ubah data silah kunjung kantor bkan nya memudahkantolong butuh,negative,negative,3
muda,neutral,neutral,5
daftar bpjs sehat kali kode otp ga masuk gilir ganti nomor email hasil tetep aja ga verifikasi kode otp alamat email daftar baharu aplikasi parah bug mulu,negative,negative,5
download android oppo f,neutral,neutral,1
tingkat kualitas aplikasi,neutral,neutral,5
aplikasi gak,neutral,neutral,5
daftar susah aplikasi model,negative,negative,5
aplikasi sampah diwajibin eror mulu,negative,negative,5
aplikasi si asa orang indo yg pinter it gak pakai bikin aplikasi minimal bergunaaplikasi asosiasi perintah bobrok ginisebulan full maintenance gak buka tolong duit negara cuman korupsi pakai gaji orang kompeten bidang biar gak ngasilin aplikasi payah kaya gin,negative,negative,1
ok pis,neutral,neutral,1
nungguin kode verifikasi sampe,neutral,neutral,5
terimakasih jkn aplikasi mudah data bpjs mudah obat rs,positive,positive,5
aneh kluar mulu aplikasi liat kode otp email benerin cepat lahh,neutral,negative,5
captcha muter doang ga masuk,neutral,neutral,1
aktif kmna,neutral,neutral,1
bagus bantu,positive,positive,5
capture gambar skrg informasi nomor antri hp bawa anak obat faskes,neutral,neutral,5
bagus beemamfaat,positive,positive,5
keren baik layan nya tlp aplikasi sekian menit putus bantu smoga,positive,positive,5
otp via wa gk muncul jd ribet kontrol rs sakit stroke ngisi aplikasi bikin mumet otak,neutral,neutral,1
buka mudah aga sulit verifikasi wajah udah ngikutin arah ber ulang kali tolong kalo betul,neutral,neutral,5
verifikasi wajah gagal ngasih bintang aja bagus,neutral,neutral,1
update jelekgak login,neutral,neutral,5
mudah aplikasi aman moga depan,positive,positive,5
aplikasi mobile jkn mudah langsung beres terimakasih tingkat layan nya,positive,positive,5
log out aplikasi nik nya dimasukin udah bener gak masuk aplikasi ruwet banget tlp dibantuin suruh antri langsung pas antri langsung gak usir suruh pakai aplikasi aplikasi bener bantu bikin ribet,neutral,neutral,5
login antri online offline jaring g instal ulang kendala aplikasi faktanyabdi faskes kendala aplikasi bpjsnya alas saran klasik,neutral,neutral,2
ribet bikin sistem gin udh izin kerjaa suruh onlineee,neutral,neutral,5
yah daftar masuk nik nama lengkap verifikasi wajah kamera nya verifikasi wajah kamera susah udah penuh perintah cahaya terang banget muka polos gagal kali coba hari harap hasil nihil repot kantor cabang bpjs lokasi,negative,negative,5
layan,neutral,neutral,1
mudah mmbantu,positive,positive,1
sistem baik terimakasih jkn sulit daftar aplikasi nya mohon maaf kritik saran yg sopan bug aplikasi cepat baik masyarakat sulit akses aplikasi terimakasih,positive,positive,5
knp max nik,neutral,neutral,1
ambil antri mudah aplikasi,positive,positive,1
ga djkn,neutral,neutral,5
bantu praktis biar rumah daftar mantap,positive,positive,5
ambil antri rs sinkron pilih dokter yg sesuai,neutral,neutral,5
bantu perlu berobatpindah faskesdaftar obat dll,neutral,neutral,3
terimakasih jkn jalan lancar aplikasi,neutral,neutral,5
dafta online pilih nama milik kartu blank it nya canggih,neutral,neutral,5
bantu,neutral,neutral,5
pasien bpjs layan daerah karawang tolong perhati,neutral,neutral,1
bantu banget berkat aplikasi,neutral,neutral,1
baru log out login ulang kadang katasandi salah ganti sandi kode verifikasi gak sampe sms baru sulit,negative,negative,5
aplikasi bangsadddd nungguin verfikasi otp kali ga nongol daftar ga aplikasi sampahhhhh nyusahin buang ajajgn didownload aplikasi buang kuota ga faedah ga bs dipake,neutral,neutral,2
mudah daftar dn obat,positive,positive,5
layan tingkat yaa sulit masyarakat nya ramah tamah sop santun nya,negative,negative,3
ubah faskes mudah cepat,positive,positive,2
rumah sakit kalisat layan bagus ruang merpati,positive,positive,1
aplikasi simpan gak login mulu,neutral,neutral,5
bantu,neutral,neutral,2
cek riwayat layan,neutral,neutral,3
update,neutral,neutral,5
aplikasi bpjs sehat error dr kmrn dftr bpjs tp tdk,negative,negative,1
keren sih ngebantu banget pokok,neutral,neutral,5
aplikasi login iya byk hutang bpjs,neutral,neutral,5
login brapa kali kaga masuk,neutral,neutral,3
aplikasi jelek install paksa,negative,negative,4
bantu alhamdulilah,neutral,neutral,5
alhamdulillah bantu,neutral,neutral,5
bantu check up daftar online mobile jkn tunggu gilir ketemu dokter,neutral,neutral,1
aplikasi sdh buka suka log out,positive,positive,5
the best aplikasi,neutral,neutral,4
ya abis versi update tbtb akun logout sndiri trus mo masuk ganggu trus daritadi padhal jdwalnya mo pol jdi gk ambil no antri onlinenya tlong baik layan sistem nya buruk,neutral,neutral,5
gmn buka bpjs susah bgt nik udh sm pasword udh tp aj gak bsa d buka,negative,negative,1
gak koneksi ama puskesmas,neutral,neutral,1
ga daftar autodebit arahin autodebit log in aja susah takut ga bayar lu emang suka gue mah,neutral,neutral,5
aplikasi gak guna faskes suruh baru data gimana login aja kaga bayar izin aplikasi banget,neutral,neutral,5
ganti no telp aja ribet nya ampunnn update gampangin ribet isi ganti no telp doang biar verifikasi link kl ganti data nya tetep aplikasi aja link aplikasi perintah tu ribet ,neutral,neutral,1
pelit amatoperator nya kerja kelayapanklau ga kerja kluar ajamasi yg rajin kerja,neutral,neutral,1
joosss bantu,neutral,neutral,5
captcha nya muter sinyal aman coba pke wifi aman pke data aman ini gmna sih sampe akun,neutral,neutral,5
aplikasi jkn masuk daftar daftar daftar solusi nyakalau selesai inisaya ubah bintang,positive,positive,5
aplikasi minus lambat mulek sistem ga repot guna,negative,negative,5
rekam wajah,neutral,neutral,1
layan online nya cepat mantap terus,positive,positive,5
aplikasi baik login susah antri faskes aja susah bgt muter doang muncul offline yg offline tu aplikasi sih sinyal bisa kesel nya mepet,negative,negative,1
rujuk hilang klau dr jadwal kontrol pdhl rujuk msh aktif,neutral,neutral,1
okmantap,neutral,neutral,5
layan baikwalaupun orang awam paham nya,neutral,neutral,5
